DATE,ESPECES,TITRES,TOTAL,BASE100,APPARIEE100,DETENTION100
2022-06-14,10115.59,0.0,10115.59,101.1559,101.1065,96.9456
2022-06-15,10115.59,0.0,10115.59,101.1559,101.1065,98.2748
2022-06-16,10115.59,0.0,10115.59,101.1559,101.1065,94.5874
2022-06-17,10115.59,0.0,10115.59,101.1559,101.1065,92.958
2022-06-20,10115.59,0.0,10115.59,101.1559,101.1065,91.4716
2022-06-21,10115.59,0.0,10115.59,101.1559,101.1065,94.2443
2022-06-22,10115.59,0.0,10115.59,101.1559,101.1065,93.5154
2022-06-23,10115.59,0.0,10115.59,101.1559,101.1065,93.1867
2022-06-24,10115.59,0.0,10115.59,101.1559,101.1065,96.8885
2022-06-27,10115.59,0.0,10115.59,101.1559,101.1065,96.0595
2022-06-28,10115.59,0.0,10115.59,101.1559,101.1065,96.231
2022-06-29,10115.59,0.0,10115.59,101.1559,101.1065,94.716
2022-06-30,10115.59,0.0,10115.59,101.1559,101.1065,92.0433
2022-07-01,10115.59,0.0,10115.59,101.1559,101.1065,91.2
2022-07-04,10115.59,0.0,10115.59,101.1559,101.1065,91.9575
2022-07-05,10115.59,0.0,10115.59,101.1559,101.1065,87.9842
2022-07-06,10115.59,0.0,10115.59,101.1559,101.1065,90.857
2022-07-07,10115.59,0.0,10115.59,101.1559,101.1065,91.7717
2022-07-08,10115.59,0.0,10115.59,101.1559,101.1065,92.2863
2022-07-11,10115.59,0.0,10115.59,101.1559,101.1065,92.1433
2022-07-12,10115.59,0.0,10115.59,101.1559,101.1065,91.8289
2022-07-13,10115.59,0.0,10115.59,101.1559,101.1065,90.4425
2022-07-14,10115.59,0.0,10115.59,101.1559,101.1065,89.4135
2022-07-15,10115.59,0.0,10115.59,101.1559,101.1065,91.2572
2022-07-18,10115.59,0.0,10115.59,101.1559,101.1065,91.2429
2022-07-19,10115.59,0.0,10115.59,101.1559,101.1065,92.715
2022-07-20,10115.59,0.0,10115.59,101.1559,101.1065,92.3863
2022-07-21,10115.59,0.0,10115.59,101.1559,101.1065,92.4864
2022-07-22,10115.59,0.0,10115.59,101.1559,101.1065,92.9151
2022-07-25,10115.59,0.0,10115.59,101.1559,101.1065,92.615
2022-07-26,10115.59,0.0,10115.59,101.1559,101.1065,92.7579
2022-07-27,10115.59,0.0,10115.59,101.1559,101.1065,92.7579
2022-07-28,10115.59,0.0,10115.59,101.1559,101.1065,95.7022
2022-07-29,10115.59,0.0,10115.59,101.1559,101.1065,96.331
2022-08-01,10115.59,0.0,10115.59,101.1559,101.1065,95.2019
2022-08-02,10115.59,0.0,10115.59,101.1559,101.1065,94.7875
2022-08-03,10115.59,0.0,10115.59,101.1559,101.1065,95.2448
2022-08-04,10115.59,0.0,10115.59,101.1559,101.1065,96.0023
2022-08-05,10115.59,0.0,10115.59,101.1559,101.1065,95.7736
2022-08-08,10115.59,0.0,10115.59,101.1559,101.1065,96.6312
2022-08-09,10115.59,0.0,10115.59,101.1559,101.1065,96.1595
2022-08-10,10115.59,0.0,10115.59,101.1559,101.1065,97.1314
2022-08-11,10115.59,0.0,10115.59,101.1559,101.1065,96.917
2022-08-12,10115.59,0.0,10115.59,101.1559,101.1065,97.5316
2022-08-15,10115.59,0.0,10115.59,101.1559,101.1065,98.6464
2022-08-16,10115.59,0.0,10115.59,101.1559,101.1065,97.8318
2022-08-17,10115.59,0.0,10115.59,101.1559,101.1065,97.3172
2022-08-18,10115.59,0.0,10115.59,101.1559,101.1065,97.9747
2022-08-19,10115.59,0.0,10115.59,101.1559,101.1065,98.0319
2022-08-22,10115.59,0.0,10115.59,101.1559,101.1065,94.8446
2022-08-23,10115.59,0.0,10115.59,101.1559,101.1065,94.1014
2022-08-24,10115.59,0.0,10115.59,101.1559,101.1065,95.0018
2022-08-25,10115.59,0.0,10115.59,101.1559,101.1065,94.8875
2022-08-26,10115.59,0.0,10115.59,101.1559,101.1065,93.1295
2022-08-29,10115.59,0.0,10115.59,101.1559,101.1065,92.1291
2022-08-30,10115.59,0.0,10115.59,101.1559,101.1065,91.6717
2022-08-31,10115.59,0.0,10115.59,101.1559,101.1065,89.9566
2022-09-01,10115.59,0.0,10115.59,101.1559,101.1065,88.7846
2022-09-02,10115.59,0.0,10115.59,101.1559,101.1065,89.7565
2022-09-05,10115.59,0.0,10115.59,101.1559,101.1065,86.6979
2022-09-06,10115.59,0.0,10115.59,101.1559,101.1065,87.4268
2022-09-07,10115.59,0.0,10115.59,101.1559,101.1065,88.5988
2022-09-08,10115.59,0.0,10115.59,101.1559,101.1065,87.9842
2022-09-09,10115.59,0.0,10115.59,101.1559,101.1065,88.2701
2022-09-12,10115.59,0.0,10115.59,101.1559,101.1065,90.6426
2022-09-13,10115.59,0.0,10115.59,101.1559,101.1065,89.6136
2022-09-14,10115.59,0.0,10115.59,101.1559,101.1065,89.0704
2022-09-15,10115.59,0.0,10115.59,101.1559,101.1065,87.8842
2022-09-16,10115.59,0.0,10115.59,101.1559,101.1065,87.5268
2022-09-19,10115.59,0.0,10115.59,101.1559,101.1065,87.1552
2022-09-20,10115.59,0.0,10115.59,101.1559,101.1065,85.2115
2022-09-21,10115.59,0.0,10115.59,101.1559,101.1065,87.5697
2022-09-22,10115.59,0.0,10115.59,101.1559,101.1065,85.0542
2022-09-23,10115.59,0.0,10115.59,101.1559,101.1065,84.897
2022-09-26,10115.59,0.0,10115.59,101.1559,101.1065,84.0109
