DATE,ESPECES,TITRES,TOTAL,BASE100,APPARIEE100,DETENTION100,PART_INVESTIE,LIGNES_OUVERTES
2023-01-16,10171.73,0.0,10171.73,101.7173,99.2069,104.1431,0.0,0
2023-01-17,10171.73,0.0,10171.73,101.7173,99.2069,103.7477,0.0,0
2023-01-18,10171.73,0.0,10171.73,101.7173,99.2069,104.5637,0.0,0
2023-01-19,10171.73,0.0,10171.73,101.7173,99.2069,103.1081,0.0,0
2023-01-20,10171.73,0.0,10171.73,101.7173,99.2069,103.8171,0.0,0
2023-01-23,10171.73,0.0,10171.73,101.7173,99.2069,104.4643,0.0,0
2023-01-24,10171.73,0.0,10171.73,101.7173,99.2069,105.2839,0.0,0
2023-01-25,10171.73,0.0,10171.73,101.7173,99.2069,104.9383,0.0,0
2023-01-26,10171.73,0.0,10171.73,101.7173,99.2069,105.407,0.0,0
2023-01-27,10171.73,0.0,10171.73,101.7173,99.2069,105.4616,0.0,0
2023-01-30,10171.73,0.0,10171.73,101.7173,99.2069,105.0632,0.0,0
2023-01-31,10171.73,0.0,10171.73,101.7173,99.2069,104.6999,0.0,0
2023-02-01,10171.73,0.0,10171.73,101.7173,99.2069,105.3453,0.0,0
2023-02-02,10171.73,0.0,10171.73,101.7173,99.2069,107.3271,0.0,0
2023-02-03,10171.73,0.0,10171.73,101.7173,99.2069,108.6663,0.0,0
2023-02-06,10171.73,0.0,10171.73,101.7173,99.2069,107.1494,0.0,0
2023-02-07,10171.73,0.0,10171.73,101.7173,99.2069,106.8726,0.0,0
2023-02-08,10171.73,0.0,10171.73,101.7173,99.2069,106.8113,0.0,0
2023-02-09,10171.73,0.0,10171.73,101.7173,99.2069,107.6112,0.0,0
2023-02-10,10171.73,0.0,10171.73,101.7173,99.2069,107.1247,0.0,0
2023-02-13,10171.73,0.0,10171.73,101.7173,99.2069,107.9297,0.0,0
2023-02-14,10171.73,0.0,10171.73,101.7173,99.2069,108.1955,0.0,0
2023-02-15,10171.73,0.0,10171.73,101.7173,99.2069,109.614,0.0,0
2023-02-16,10171.73,0.0,10171.73,101.7173,99.2069,110.2867,0.0,0
2023-02-17,10171.73,0.0,10171.73,101.7173,99.2069,110.3019,0.0,0
2023-02-20,9188.2,978.3,10166.51,101.6651,99.2069,109.7781,9.6228,1
2023-02-21,9188.2,973.65,10161.86,101.6186,99.211,109.8263,9.5815,1
2023-02-22,9188.2,969.67,10157.87,101.5787,99.1906,109.5905,9.546,1
2023-02-23,9188.2,981.46,10169.66,101.6966,99.2662,110.4647,9.6508,1
2023-02-24,9188.2,966.18,10154.39,101.5439,99.2266,110.0081,9.5149,1
2023-02-27,6446.0,3736.87,10182.87,101.8287,99.2914,110.7639,36.6976,2
2023-02-28,6446.0,3698.57,10144.57,101.4457,99.1421,110.3098,36.4586,2
2023-03-01,6446.0,3671.66,10117.66,101.1766,99.0773,110.1122,36.2896,2
2023-03-02,6446.0,3740.63,10186.62,101.8662,99.267,110.6931,36.721,2
