DATE,TICKER,TYPE,PHASE,ENONCE,BORNE_BASSE,BORNE_HAUTE,DATE_DEPOUILLEMENT,VALEUR_CONSTATEE,VERDICT
2024-10-31,TTE.PA,CANAL,,"clôture entre 51,77 € et 56,50 € au 2024-11-29",51.7727,56.504,2024-11-29,49.80348205566406,DEMENTIE
2024-10-31,TTE.PA,REFLEXIVE,RETOURNEMENT,"RETOURNEMENT : écart contre TR12 négatif ou nul, au 2024-11-29",,0.0,2024-11-29,-1.4660673512402855,CONFIRMEE
2024-10-31,SU.PA,CANAL,,"clôture entre 242,26 € et 245,42 € au 2024-11-29",242.2602,245.4221,2024-11-29,235.5184326171875,DEMENTIE
2024-10-31,SU.PA,REFLEXIVE,AUCUNE SEQUENCE,"AUCUNE SEQUENCE : écart contre TR12 dans ± 5 points, au 2024-11-29",-5.0,5.0,2024-11-29,5.4233620594496434,DEMENTIE
2024-10-31,AI.PA,CANAL,,"clôture entre 144,62 € et 157,68 € au 2024-11-29",144.6229,157.6771,2024-11-29,137.50503540039062,DEMENTIE
2024-10-31,AI.PA,REFLEXIVE,AUCUNE SEQUENCE,"AUCUNE SEQUENCE : écart contre TR12 dans ± 5 points, au 2024-11-29",-5.0,5.0,2024-11-29,-1.714586521585637,CONFIRMEE
2024-10-31,DG.PA,CANAL,,"clôture entre 92,02 € et 101,11 € au 2024-11-29",92.017,101.11370000000001,2024-11-29,93.14522552490234,CONFIRMEE
2024-10-31,DG.PA,REFLEXIVE,AUCUNE SEQUENCE,"AUCUNE SEQUENCE : écart contre TR12 dans ± 5 points, au 2024-11-29",-5.0,5.0,2024-11-29,0.0020413083848369595,CONFIRMEE
2024-10-31,CAP.PA,CANAL,,"clôture entre 146,17 € et 183,89 € au 2024-11-29",146.16989999999998,183.8895,2024-11-29,143.8513946533203,DEMENTIE
2024-10-31,CAP.PA,REFLEXIVE,RETOURNEMENT,"RETOURNEMENT : écart contre TR12 négatif ou nul, au 2024-11-29",,0.0,2024-11-29,-1.8180569226712517,CONFIRMEE
2024-10-31,RI.PA,CANAL,,"clôture entre 99,99 € et 122,80 € au 2024-11-29",99.99069999999999,122.7987,2024-11-29,96.68224334716797,DEMENTIE
2024-10-31,RI.PA,REFLEXIVE,RETOURNEMENT,"RETOURNEMENT : écart contre TR12 négatif ou nul, au 2024-11-29",,0.0,2024-11-29,-2.4527096679490157,CONFIRMEE
2024-10-31,ORA.PA,CANAL,,"clôture entre 8,84 € et 9,98 € au 2024-11-29",8.837100000000001,9.9751,2024-11-29,9.017858505249023,CONFIRMEE
2024-10-31,ORA.PA,REFLEXIVE,AUCUNE SEQUENCE,"AUCUNE SEQUENCE : écart contre TR12 dans ± 5 points, au 2024-11-29",-5.0,5.0,2024-11-29,2.668327816639904,CONFIRMEE
2024-11-29,AIR.PA,CANAL,,"clôture entre 136,10 € et 141,59 € au 2024-12-31",136.10399999999998,141.59,2024-12-31,148.630859375,DEMENTIE
2024-11-29,AIR.PA,REFLEXIVE,AUCUNE SEQUENCE,"AUCUNE SEQUENCE : écart contre TR12 dans ± 5 points, au 2024-12-31",-5.0,5.0,2024-12-31,3.0810741852460577,CONFIRMEE
2024-11-29,MC.PA,CANAL,,"clôture entre 524,23 € et 525,06 € au 2024-12-31",524.226,525.064,2024-12-31,610.6588745117188,DEMENTIE
2024-11-29,MC.PA,REFLEXIVE,AUCUNE SEQUENCE,"AUCUNE SEQUENCE : écart contre TR12 dans ± 5 points, au 2024-12-31",-5.0,5.0,2024-12-31,6.450486755791385,DEMENTIE
2024-11-29,OR.PA,CANAL,,"clôture entre 286,16 € et 285,83 € au 2024-12-31",286.158,285.826,2024-12-31,329.2966003417969,DEMENTIE
2024-11-29,OR.PA,REFLEXIVE,AUCUNE SEQUENCE,"AUCUNE SEQUENCE : écart contre TR12 dans ± 5 points, au 2024-12-31",-5.0,5.0,2024-12-31,2.2045870286061087,CONFIRMEE
2024-11-29,SAN.PA,CANAL,,"clôture entre 82,72 € et 116,50 € au 2024-12-31",82.71600000000001,116.5,2024-12-31,85.03131103515625,CONFIRMEE
2024-11-29,SAN.PA,REFLEXIVE,AUCUNE SEQUENCE,"AUCUNE SEQUENCE : écart contre TR12 dans ± 5 points, au 2024-12-31",-5.0,5.0,2024-12-31,-0.020127393219748768,CONFIRMEE
