DATE,TICKER,SOUS_BAS,TAUX_20_POSITIF,AU_DESSUS_HAUT,REPLI_SOUS_SEUIL,SOUS_ECHANTILLON,RENDEMENT_20
2023-07-07,SAF.PA,oui,non,non,non,non,8.4693
2023-07-07,AIR.PA,non,oui,non,non,non,-0.2288
2023-07-07,PUB.PA,non,non,non,non,non,5.5127
2023-07-07,SGO.PA,non,non,non,non,non,14.2139
2023-07-07,MC.PA,oui,non,non,non,non,-1.1388
2023-07-07,CAP.PA,non,non,non,non,non,-4.2195
2023-07-14,ENGI.PA,non,oui,non,non,non,-3.4506
2023-07-14,AC.PA,non,oui,non,non,non,-1.4758
2023-07-14,EN.PA,non,oui,non,non,non,4.2281
2023-07-14,TTE.PA,non,non,non,non,non,11.486
2023-07-14,SAF.PA,oui,non,non,non,non,7.369
2023-07-14,AIR.PA,non,oui,non,non,non,-1.714
2023-07-14,PUB.PA,non,oui,non,non,non,0.94
2023-07-14,SGO.PA,non,oui,oui,non,non,5.7009
2023-07-14,MC.PA,non,oui,non,non,non,-8.0578
2023-07-14,CAP.PA,non,oui,oui,non,non,-7.6007
2023-07-21,ENGI.PA,non,oui,non,non,oui,-5.6526
2023-07-21,AC.PA,non,oui,non,non,oui,-4.0047
2023-07-21,EN.PA,non,oui,oui,non,oui,-1.4529
2023-07-21,TTE.PA,non,oui,non,non,oui,5.5936
2023-07-21,SAF.PA,non,non,non,non,oui,1.1995
2023-07-21,AIR.PA,non,oui,non,non,oui,-5.7993
2023-07-21,PUB.PA,non,oui,non,non,oui,-0.2529
2023-07-21,SGO.PA,non,oui,oui,non,oui,1.525
2023-07-21,MC.PA,non,oui,non,non,oui,-10.4851
2023-07-21,CAP.PA,non,oui,oui,non,oui,-8.008
2023-07-28,ENGI.PA,oui,oui,non,non,non,-1.3339
2023-07-28,AC.PA,non,oui,non,non,non,-5.022
2023-07-28,EN.PA,non,oui,oui,non,non,-5.7814
2023-07-28,TTE.PA,non,oui,oui,non,non,5.2902
2023-07-28,SAF.PA,non,oui,oui,non,non,-3.5624
2023-07-28,AIR.PA,non,oui,non,non,non,-2.6533
2023-07-28,PUB.PA,non,oui,oui,non,non,-3.1793
2023-07-28,SGO.PA,non,oui,oui,non,non,-5.5646
2023-07-28,MC.PA,non,non,non,non,non,-6.6453
2023-07-28,CAP.PA,non,oui,non,non,non,-2.6647
2023-08-04,ENGI.PA,oui,non,non,non,non,2.6458
2023-08-04,AC.PA,oui,non,non,non,non,2.0694
2023-08-04,EN.PA,non,oui,oui,non,non,-1.577
2023-08-04,TTE.PA,non,oui,oui,non,non,5.9745
