TIRAGE,UNIVERS,TOP10
667,100.1929,91.8404
668,96.0608,90.0721
669,93.8062,95.3791
670,87.2159,89.0245
671,94.4154,88.8177
672,101.5252,94.7768
673,93.5215,93.8439
674,94.7957,91.9153
675,99.5793,94.3472
676,96.158,88.6161
677,99.5194,93.1985
678,90.2006,92.3508
679,90.8884,91.2606
680,100.2513,92.6135
681,98.0395,91.5855
682,104.312,90.0114
683,91.7346,93.4413
684,94.7472,91.4637
685,99.7571,94.895
686,107.1481,91.6969
687,93.5229,92.2246
688,89.9384,91.9944
689,94.1272,91.3554
690,102.0322,94.3065
691,94.2427,92.7901
692,97.6486,91.3592
693,97.1761,91.0559
694,100.0602,91.463
695,98.6018,94.0202
696,99.9608,88.2954
697,100.3816,96.1703
698,93.3632,96.319
699,97.3552,97.5098
700,104.6884,90.7061
701,99.3327,88.6524
702,96.5637,95.3827
703,91.963,87.2062
704,106.443,89.2895
705,92.2145,93.1001
706,95.3476,94.6815
707,91.7093,93.4596
708,98.387,91.8886
709,95.6839,98.9713
710,107.3869,94.9533
711,93.6739,92.318
712,99.079,89.028
713,96.1569,98.5212
714,92.4018,90.0124
715,100.1873,96.1791
716,107.4433,96.1012
717,99.3085,91.6532
718,97.5364,91.4298
719,97.2956,94.48
720,104.2419,93.6443
721,95.3898,91.0286
722,91.2035,91.3947
723,92.8892,87.4492
724,101.3704,91.0683
725,93.6969,97.9379
726,99.6139,89.8305
727,100.2438,91.2045
728,97.1511,91.8603
729,93.9034,90.3474
730,97.4348,90.2616
731,97.3401,93.7116
732,89.5163,92.6065
733,100.6469,88.934
734,97.1937,93.0696
735,102.1454,86.2418
736,103.5478,93.4645
737,89.3454,94.7684
738,93.0961,85.8224
739,95.2591,90.3488
740,95.547,90.5355
741,98.383,96.9427
742,92.2867,96.1714
743,99.3813,94.8365
744,94.0631,89.7142
745,97.6257,90.3416
746,89.739,94.0592
747,96.1911,96.3777
748,97.3737,87.6493
749,102.8767,91.6288
750,99.3808,92.4092
751,97.1613,90.7086
752,92.3582,87.8286
753,99.0672,89.2985
754,93.5659,87.4161
755,104.4636,96.4318
756,90.6527,88.4812
757,95.7419,92.9138
758,95.9857,92.2573
759,112.2871,90.7133
760,96.8691,91.2412
761,93.3779,95.99
762,100.3641,95.0558
763,97.1647,91.9494
764,102.7169,93.7482
765,104.7647,94.4181
766,95.2235,96.4306
767,92.0299,92.4303
768,110.0089,97.265
769,97.0204,92.9783
770,100.4632,92.0316
771,97.7266,94.1601
772,96.5628,95.9618
773,101.9632,94.9755
774,103.8266,92.2359
775,97.8775,96.5599
776,96.2074,89.8252
777,98.0203,96.7505
778,96.6783,92.1449
779,99.7485,95.1598
780,101.8526,93.6741
781,95.5199,90.174
782,98.0601,94.0751
783,94.7956,87.4237
784,93.0407,94.2613
785,102.5614,97.7978
786,101.7334,94.9245
787,100.0327,91.6015
788,89.4806,93.2141
789,101.2878,94.5508
790,98.1607,95.0592
791,95.9603,90.5521
792,98.1621,94.0389
793,90.8214,91.5707
794,101.7111,89.8369
795,96.833,91.2724
796,93.0012,94.1665
797,96.6895,96.8523
798,103.0147,89.98
799,91.9491,93.4435
800,92.6686,91.6788
801,92.9941,96.7342
802,96.139,97.3871
803,95.2772,93.2277
804,104.6217,96.3514
805,97.3215,98.767
806,98.0074,95.5717
807,97.8799,90.1809
808,95.6299,99.3282
809,94.7577,97.8942
810,100.7477,97.3998
811,104.0441,95.2558
812,103.6745,95.6327
813,101.4543,91.8332
814,96.6084,92.2014
815,102.0348,93.819
816,102.1211,90.5712
817,102.4025,90.0898
818,95.1417,88.5099
819,88.182,93.7373
820,96.8643,93.3884
821,95.1991,93.4491
822,100.6446,92.5042
823,94.6214,94.2341
824,91.302,87.5307
825,90.3267,92.9517
826,109.1947,94.1569
827,96.9199,91.2068
828,99.385,96.2842
829,92.1501,96.5898
830,93.1533,90.7308
831,104.018,93.9907
832,101.7042,92.6647
833,97.8322,92.9001
834,98.9386,91.2249
835,97.1767,89.0619
836,97.3482,90.3715
837,92.9283,95.494
838,100.4495,92.2594
839,91.9658,95.794
840,89.2613,89.6542
841,98.7226,92.2173
842,89.9032,91.2208
