DATE,TICKER,UNIVERS,CLOSE,E_120,VAL_120,S_120,TAUX_120,ECART_S,E_20,VAL_20,TAUX_20,ENV_BAS,ENV_HAUT,LARGEUR_ENV_S,RANG,CANDIDAT,DIAGNOSTIC
2021-10-06,STMPA.PA,oui,34.711158752441406,32.082814,37.037334,1.394513,0.259545,-1.668092,36.607339,35.632851,-0.280211,1.678606,1.476715,3.340929,4,non,
2021-10-06,SU.PA,oui,128.27334594726562,127.737083,139.912693,4.499627,0.160198,-2.586736,135.705754,129.180459,-0.506149,3.752076,4.739495,3.769904,7,non,
2021-10-06,TEP.PA,oui,282.7536926269531,288.8743,315.946986,10.537133,0.157509,-3.150126,302.905432,283.260551,-0.682682,6.26203,13.259246,3.125448,8,non,
2021-10-06,TTE.PA,oui,32.57452392578125,28.589528,29.160012,1.202681,0.033537,2.839084,30.038163,32.711098,0.93668,1.003951,0.66781,3.869087,25,non,
2021-10-06,VIE.PA,oui,21.449132919311523,20.883987,22.47427,0.606168,0.127981,-1.691175,21.961999,21.33289,-0.30153,0.579778,0.607037,3.619748,12,non,
2021-10-06,VIV.PA,oui,10.037612915039062,10.569311,11.143477,0.587734,0.091301,-1.881573,10.652369,9.344801,-1.292096,1.27747,0.692812,3.642967,15,non,
2021-10-06,WLN.PA,oui,679.8059692382812,790.109544,733.901462,37.79079,-0.119562,-1.431446,699.175119,668.786602,-0.457509,17.756448,11.019367,3.464305,,non,
2021-10-07,ACA.PA,oui,8.650459289550781,8.128925,8.052611,0.213828,-0.015778,2.795926,8.067812,8.275263,0.270668,0.439333,0.375196,3.554878,,non,
2021-10-07,AI.PA,oui,96.05479431152344,99.362607,102.137845,2.826905,0.046942,-2.151841,98.131217,94.222578,-0.419271,2.639853,1.832216,4.098143,24,non,
2021-10-07,AIR.PA,oui,104.77108764648438,100.759296,109.013596,3.602878,0.137682,-1.177533,105.117878,105.76349,0.06465,2.182336,2.34028,3.10057,11,non,
2021-10-07,ALO.PA,oui,30.557451248168945,38.247654,29.850478,1.738199,-0.368987,0.406728,31.140528,31.208539,0.02299,1.429806,1.202528,3.48949,,non,
2021-10-07,ATO.PA,non,3295.674560546875,3585.291317,3023.20889,257.582048,-0.263487,1.057782,3364.322058,3356.107241,-0.025703,60.43268,92.028253,3.072984,,non,
2021-10-07,BN.PA,oui,48.98501205444336,50.419352,51.909989,1.598261,0.049689,-1.830099,49.938158,49.072125,-0.182549,0.499651,0.583784,2.914728,23,non,
2021-10-07,BNP.PA,oui,41.1103401184082,37.658669,37.701231,1.540795,0.0019,2.212565,38.533231,40.600349,0.564685,2.019679,1.148784,3.582962,28,non,
2021-10-07,CA.PA,oui,12.162076950073242,12.444471,12.138592,0.499007,-0.04131,0.047062,11.730278,12.134982,0.363166,0.399853,0.359643,3.394799,,non,
2021-10-07,CAP.PA,oui,161.38427734375,153.613297,177.077876,6.326159,0.256724,-2.480747,167.893674,159.914812,-0.500245,5.169838,7.83609,3.236105,4,non,
2021-10-07,CS.PA,oui,18.022781372070312,16.961886,17.639182,0.54436,0.06711,0.704681,17.494418,17.916274,0.253829,0.685977,0.362375,3.863385,20,non,
2021-10-07,DG.PA,oui,75.33915710449219,75.668225,73.867725,1.604657,-0.039991,0.916976,73.92972,75.483301,0.221203,1.885197,2.455249,4.405193,,non,
2021-10-07,DSY.PA,oui,43.233829498291016,41.638358,48.579966,1.984752,0.280188,-2.693604,45.912932,42.912418,-0.687919,2.380298,2.676861,3.262049,2,non,
2021-10-07,EL.PA,oui,148.71238708496094,137.809586,154.171149,2.911135,0.199539,-1.875132,150.229438,147.927679,-0.16128,3.599954,4.308886,4.454827,5,non,
2021-10-07,EN.PA,oui,27.34510040283203,26.107677,27.112261,1.057326,0.06467,0.220215,27.545262,27.279992,-0.101372,0.432425,0.567341,3.637771,21,non,
2021-10-07,ENGI.PA,oui,7.9092793464660645,8.035527,7.904294,0.217278,-0.027448,0.022946,7.929416,7.852262,-0.102422,0.228223,0.140788,4.532311,,non,
2021-10-07,ERF.PA,oui,100.21315002441406,94.866101,116.973184,5.718116,0.391655,-2.931041,109.607543,98.651678,-1.052162,5.440441,5.995884,3.272369,1,non,
2021-10-07,GLE.PA,oui,22.577165603637695,20.492941,21.551735,0.880033,0.086834,1.165218,21.212936,21.96587,0.373622,1.429253,0.858055,3.649399,15,non,
2021-10-07,HO.PA,oui,75.70166778564453,77.0484,77.192326,1.993502,0.003139,-0.747759,75.074129,76.120293,0.146685,1.780185,1.870121,3.433156,27,non,
2021-10-07,KER.PA,oui,556.8306884765625,619.66217,594.691324,40.186493,-0.067727,-0.942123,555.282504,534.938348,-0.385658,22.563202,33.510852,3.857888,,non,
2021-10-07,LR.PA,oui,82.87031555175781,82.428358,89.422302,2.334096,0.142603,-2.807077,85.460229,81.718535,-0.460872,1.540667,1.874916,3.321297,9,non,
2021-10-07,MC.PA,oui,578.989013671875,591.480603,593.51689,22.8186,0.005786,-0.636668,575.893985,566.835624,-0.165571,18.260451,17.322191,3.223404,26,non,
2021-10-07,ML.PA,oui,27.281660079956055,27.054465,28.778268,1.009225,0.107086,-1.482927,27.220978,26.962586,-0.09992,0.962601,0.713421,3.991142,14,non,
2021-10-07,MT.AS,oui,23.265052795410156,24.741869,25.798058,1.480865,0.071745,-1.71049,24.130405,22.59316,-0.670587,1.814044,1.35702,3.927343,19,non,
2021-10-07,OR.PA,oui,333.7608947753906,347.646999,364.3074,13.157249,0.080543,-2.321648,346.803775,327.19517,-0.595168,10.721815,9.304055,3.740405,17,non,
