TICKER,ACHAT,SORTIE,MOTIF,TRANCHES,QUANTITE,PRIX_PREMIERE_TRANCHE,PRIX_ACHAT,PRIX_SORTIE,SEUIL_REGLE_4,TAUX_20_ACHAT,SEANCES,PLUS_VALUE,REPLI_PREMIERE,REPLI_MOYEN,REPLI_LOW,CONTRIBUTION
AIR.PA,2025-02-24,2025-06-23,VENTE,2,8,154.8534,140.9103,163.4989,149.6251,0.0345,83,16.0305,-17.2268,-9.0364,-21.6173,177.9085
PUB.PA,2025-03-03,2025-05-12,VENTE,2,14,88.0862,86.2266,85.4716,85.572,-0.365,48,-0.8755,-20.1714,-18.4497,-24.6446,-16.9548
MC.PA,2025-03-10,2025-07-07,VENTE,2,2,611.3315,584.33,466.3058,575.995,-0.3023,83,-20.1982,-30.1778,-26.9513,-30.3373,-241.9708
SGO.PA,2025-04-07,2025-12-08,VENTE,1,8,68.8133,68.8133,83.8085,74.0487,-0.6667,173,21.7912,5.6,5.6,-0.8,116.906
SAF.PA,2025-04-07,2025-06-30,VENTE,2,6,192.1493,198.4076,270.9556,204.8242,-0.2404,58,36.5651,2.0356,-1.1829,-2.9517,428.4779
CAP.PA,2025-04-07,2025-06-09,VENTE,1,5,106.6338,106.6338,145.6645,111.2723,-0.4975,43,36.6026,6.9272,6.9272,-2.3091,192.1034
TTE.PA,2025-04-07,2025-06-23,VENTE,2,26,46.1961,46.2334,52.1576,47.3068,0.2019,53,12.8136,-2.643,-2.7215,-3.8737,147.4802
EN.PA,2025-06-09,2025-10-20,VENTE,2,37,36.5692,35.8894,39.5911,35.725,0.0152,96,10.3141,-6.532,-4.7615,-7.1616,129.7665
ENGI.PA,2025-07-14,2025-10-20,VENTE,2,73,18.8107,18.5115,18.6631,18.4069,0.015,71,0.8189,-12.1711,-10.7517,-12.9555,3.8918
PUB.PA,2025-08-04,2025-10-20,VENTE,1,8,76.2815,76.2815,82.4804,70.8486,-0.708,56,8.1264,-5.7687,-5.7687,-7.2486,46.3002
CAP.PA,2025-08-04,2025-10-20,VENTE,1,5,121.2498,121.2498,119.1184,109.9545,-0.4936,56,-1.7579,-5.6332,-5.6332,-5.833,-13.8581
AC.PA,2025-08-04,2025-10-27,VENTE,1,16,41.2509,41.2509,43.6888,38.0049,-0.0225,61,5.91,-5.2037,-5.2037,-6.4987,35.4642
SAF.PA,2025-09-08,2026-01-12,VENTE,1,2,276.9878,276.9878,313.0822,263.119,-0.2173,88,13.0311,-0.2499,-0.2499,-1.2496,69.1698
TTE.PA,2025-09-22,2025-10-27,VENTE,1,13,48.8155,48.8155,51.7872,47.5105,-0.1792,26,6.0876,-1.7112,-1.7112,-2.9042,35.2243
AIR.PA,2025-11-24,2026-04-20,VENTE,2,6,199.5625,196.5924,173.3371,194.1195,-0.1807,101,-11.8292,-21.6827,-20.4994,-22.5486,-142.0843
MC.PA,2026-01-19,2026-05-11,VENTE,2,2,575.614,556.9188,470.35,577.8653,0.0096,78,-15.5442,-22.6999,-20.105,-23.5599,-178.8418
PUB.PA,2026-01-19,2026-04-20,VENTE,2,16,81.7725,81.1794,75.9179,80.7703,-0.1483,64,-6.4813,-19.7941,-19.2081,-20.2854,-90.9704
CAP.PA,2026-01-26,2026-05-25,VENTE,2,10,132.1008,129.9936,100.9527,127.1385,-0.283,83,-22.3402,-29.4463,-28.3026,-30.4144,-296.9643
AC.PA,2026-02-02,2026-05-25,VENTE,2,31,44.6796,42.6793,44.3882,42.8546,-0.253,78,4.0039,-14.1304,-10.106,-18.3913,45.9013
SAF.PA,2026-02-02,2026-02-16,VENTE,1,2,293.5022,293.5022,327.0256,289.4048,-0.3033,11,11.4218,1.314,1.314,-0.7412,63.8585
SGO.PA,2026-03-09,2026-04-20,VENTE,2,18,69.3715,67.1885,76.9587,68.4456,-0.8168,29,14.5415,-4.7832,-1.6895,-7.8601,169.252
EN.PA,2026-03-09,,ouverte,2,29,45.6156,44.8317,43.85,45.8271,0.1907,130,-2.1897,-3.8706,-2.1897,-4.879,-33.8636
ENGI.PA,2026-03-09,,ouverte,2,55,24.4939,24.3341,24.3,24.4743,0.2949,130,-0.14,-2.8736,-2.2359,-4.4659,-7.4286
SAF.PA,2026-03-16,2026-06-01,VENTE,2,4,300.6222,287.025,302.5,289.4831,-0.6472,53,5.3915,-12.7632,-8.6305,-13.6184,55.7439
TTE.PA,2026-05-11,,ouverte,2,17,75.5573,72.8801,78.38,71.812,0.0146,88,7.5464,-12.755,-9.5501,-12.98,88.3558
MC.PA,2026-08-17,,ouverte,2,2,456.0,442.575,406.5,438.9752,-0.0211,18,-8.1512,-10.8553,-8.1512,-11.1294,-75.8234
AC.PA,2026-08-24,,ouverte,1,14,45.6,45.6,45.8,43.4112,-0.0927,13,0.4386,0.2632,0.2632,-0.4386,0.1507
AIR.PA,2026-08-31,,ouverte,1,3,202.75,202.75,195.78,196.36,-0.2963,8,-3.4377,-3.4377,-3.4377,-4.7201,-21.6095
SGO.PA,2026-09-08,,ouverte,1,9,73.98,73.98,71.32,72.7665,-0.5937,3,-3.5956,-3.5956,-3.5956,-4.2444,-26.7032
SAF.PA,2026-09-08,,ouverte,1,2,332.7,332.7,322.0,316.7431,-0.5237,3,-3.2161,-3.2161,-3.2161,-4.1479,-24.1614
